시군명,시설구분명,시장명,전화번호,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
용인시,전통시장,,031-336-1110,17052,경기도 용인시 처인구 금령로107번길 13,경기도 용인시 처인구 김량장동 137-1,37.23671447,127.2078585
용인시,로컬푸드직매장,이동농협 로컬푸드직매장,031-336-4422,17128,경기도 용인시 처인구 이동읍 백옥대로 595,경기도 용인시 처인구 이동읍 천리 231-5번지,37.1900406434,127.2059521269
용인시,로컬푸드직매장,원삼농협 로컬푸드직매장,031-339-2042,17168,경기도 용인시 처인구 원삼면 고당로 24,경기도 용인시 처인구 원삼면 고당리 49-4번지,37.1647788507,127.3097737601
화성시,전통시장,,031-351-8009,18567,경기도 화성시 우정읍 조암남로 8,경기도 화성시 우정읍 조암리 311-3,37.082198,126.8170415
화성시,로컬푸드직매장,정남농협 로컬푸드직매장,031-352-4902,18517,경기도 화성시 정남면 가장로 20-16,경기도 화성시 정남면 발산리 113-1번지,37.1682060548,126.9858527757
화성시,로컬푸드직매장,발안농협 로컬푸드직매장,031-354-9100,18597,경기도 화성시 향남읍 행정서남로 67,경기도 화성시 향남읍 평리 152번지,37.1291004558,126.9098564576
화성시,전통시장,,031-357-6037,18550,경기도 화성시 송산면 사강로 183-1,경기도 화성시 송산면 사강리 663-1,37.21330187,126.7360036
화성시,로컬푸드직매장,조암농협 로컬푸드직매장,031-358-3686,18567,경기도 화성시 우정읍 조암북로 42,경기도 화성시 우정읍 조암리 215-1번지,37.0856063316,126.8188661089
안산시,로컬푸드직매장,안산시로컬푸드직매장,031-369-1504,15396,경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666번지,37.3194775435,126.8164903441
안양시,전통시장,,031-386-5577,13931,경기도 안양시 동안구 관평로 336번길 31,경기도 안양시 동안구 관양동 1407-8,37.40522465,126.9593100455
고양시,로컬푸드직매장,지도농협 로컬푸드직매장(1호점),031-391-2438,10522,경기도 고양시 덕양구 무원로19 무원마을,경기도 고양시 덕양구 행신동 700번지 무원마을,37.6146887725,126.8321415279
군포시,전통시장,,031-399-4248,15806,경기도 군포시 산본천로183번길 6 산본동,경기도 군포시 산본동 221-5,37.36967532,126.9381221
시흥시,로컬푸드직매장,안양원예농협 로컬푸드직매장,031-402-1600,14982,경기도 시흥시 수인로 2411,경기도 시흥시 논곡동 179-15번지,37.3934081281,126.8566704394
안산시,전통시장,,031-407-0951,15538,경기도 안산시 상록구 본삼로 60,경기도 안산시 상록구 본오동 872,37.30055499,126.8664493
안산시,전통시장,,031-418-6766,15499,경기도 안산시 상록구 삼리로 45,경기도 안산시 상록구 사동 1530-1,37.30498141,126.8446652
시흥시,전통시장,,031-430-5001,15090,경기도 시흥시 공단1대로 204,경기도 시흥시 정왕동 1364번지,37.33771107,126.7247096
시흥시,전통시장,,031-431-5275,15015,경기도 시흥시 오이도로 167 173,경기도 시흥시 정왕동 2003-8 2003-12,37.34588131,126.6882099
안산시,로컬푸드직매장,반월농협 로컬푸드직매장,031-437-5237,15527,경기도 안산시 상록구 해안로 1190-1,경기도 안산시 상록구 본오동 20-4번지,37.2892455788,126.8735557864
안양시,전통시장,,031-447-9961,14002,경기도 안양시 만안구 냉천로185번길 8,경기도 안양시 만안구 안양동 711-280,37.39648476,126.9195692
안양시,전통시장,,031-449-7400,13996,경기도 안양시 만안구 장내로 140번길 51,경기도 안양시 만안구 안양동 622-378,37.39593462,126.9249532
안양시,전통시장,,031-453-4766,14112,경기도 안양시 동안구 흥안대로113번길 34,경기도 안양시 동안구 호계1동 997,37.37253625,126.9592998
군포시,전통시장,,031-455-3366,15855,경기도 군포시 군포로538번길 18,경기도 군포시 당동 749,37.35490153,126.9469987
시흥시,로컬푸드직매장,연꽃로컬푸드직매장,031-487-8989,14990,경기도 시흥시 동서로 770,경기도 시흥시 물왕동 248-4번지,37.3843410162,126.8308012535
화성시,로컬푸드직매장,봉담 본점,031-5180-7815,18336,경기도 화성시 봉담읍 서봉산길 10,경기도 화성시 봉담읍 덕리 7번지,37.1737405241,126.9381663408
화성시,로컬푸드직매장,능동점,031-5180-7838,18421,경기도 화성시 동탄숲속로35번길 10,경기도 화성시 능동 535-1번지,37.2095789354,127.0520532019
화성시,로컬푸드직매장,화성휴게소점,031-5180-7839,18531,경기도 화성시 팔탄면 서해안고속도로 302,경기도 화성시 팔탄면 덕천리 산101-2번지,37.1435662717,126.8812224805
화성시,로컬푸드직매장,금곡점(동탄),031-5180-7840,18511,경기도 화성시 금곡로 203,경기도 화성시 금곡동 340-4번지,37.1786149032,127.0788897836
화성시,로컬푸드직매장,동화점,031-5180-7842,18316,경기도 화성시 봉담읍 동화길 6,경기도 화성시 봉담읍 동화리 426-2번지,37.2211809193,126.9515546944
화성시,로컬푸드직매장,동탄어울림,031-5180-7844,18476,경기도 화성시 동탄대로시범길 133,경기도 화성시 청계동 530번지,37.1998398680,127.1122843061
화성시,로컬푸드직매장,동탄호수공원점,031-5180-7845,18501,경기도 화성시 동탄대로8길 36,경기도 화성시 산척동 726번지,37.1704840136,127.1104631204
포천시,로컬푸드직매장,일동농협 로컬푸드직매장,031-533-0877,11117,경기도 포천시 일동면 화동로 1092,경기도 포천시 일동면 화대리 797-9번지,37.9604678893,127.3207514182
포천시,로컬푸드직매장,포천농협 로컬푸드직매장,031-538-0105,11151,경기도 포천시 군내면 호국로 1698,경기도 포천시 군내면 하성북리 769번지,37.9039096853,127.2111311468
포천시,로컬푸드직매장,포천로컬푸드 파머스마켓,031-538-3722,11162,경기도 포천시 호국로 886,경기도 포천시 설운동 72-2번지,37.8453680722,127.1598489406
포천시,로컬푸드직매장,가산농협 로컬푸드직매장,031-544-0104,11164,경기도 포천시 가산면 선마로 233,경기도 포천시 가산면 마산리 399-2번지,37.8474005204,127.1874938358
남양주시,로컬푸드직매장,진접농협 로컬푸드직매장,031-567-8605,12067,경기도 남양주시 진접읍 해밀예당1로 28,경기도 남양주시 진접읍 연평리 56번지,37.7112615592,127.1861717495
구리시,전통시장,,031-568-8700,11928,경기도 구리시 검배로6번길 31,경기도 구리시 수택동 417,37.599546,127.139929
구리시,전통시장,,031-568-8700,11928,경기도 구리시 검배로 6번길 31,경기도 구리시 수택동 417,37.5995428,127.1399042
남양주시,로컬푸드직매장,와부농협 로컬푸드직매장,031-577-4008,12203,경기도 남양주시 와부읍 수레로 150,경기도 남양주시 와부읍 월문리 1249-1번지,37.5941300410,127.2249518720
가평군,로컬푸드직매장,가평군산림조합,031-582-4570,12426,경기도 가평군 가평읍 경춘로 1719,경기도 가평군 가평읍 상색리 413-1번지,37.7948694337,127.4764769865
가평군,로컬푸드직매장,유명산로컬푸드,031-584-8838,12472,경기도 가평군 설악면 유명로 891,경기도 가평군 설악면 방일리 228번지,37.6230682607,127.4946966025
평택시,로컬푸드직매장,평택로컬푸드종합센터,031-612-1511,17819,경기도 평택시 오성면 청오로 33-34,경기도 평택시 오성면 숙성리 1033번지,37.0149817581,126.9835258109
평택시,로컬푸드직매장,배다리직매장,031-618-1583,17862,경기도 평택시 죽백5로 40,경기도 평택시 죽백동 794번지,37.0035808118,127.1201842311
이천시,로컬푸드직매장,이천시직매장,031-631-8555,17391,경기도 이천시 이섭대천로941번길 6,경기도 이천시 율현동 265번지,37.2548880748,127.4439208535
이천시,전통시장,,031-633-4243,17368,경기도 이천시 중리천로 31번길 22,경기도 이천시 관고동 10-13,37.28081972,127.4403608
이천시,로컬푸드직매장,이천농협 로컬푸드직매장,031-634-7164,17363,경기도 이천시 영창로 235,경기도 이천시 창전동 458-4번지,37.2811570606,127.4486166797
이천시,로컬푸드직매장,향미 로컬푸드직매장,031-638-7476,17300,경기도 이천시 신둔면 원적로529번길 42,경기도 이천시 신둔면 장동리 241번지,37.3256858977,127.4482590431
안성시,로컬푸드직매장,안성인삼농협 로컬푸드직매장,031-651-9500,17548,경기도 안성시 공도읍 서동대로 4469,경기도 안성시 공도읍 마정리 150-1번지,37.0089164022,127.1983672360
안성시,로컬푸드직매장,안성로컬푸드행복장터,031-656-0747,,,,,
안성시,로컬푸드직매장,안성맞춤로컬푸드행복장터,031-656-0747,,,,,
안성시,로컬푸드직매장,안성마춤마켓 스타필드 안성점,031-656-0747,17563,경기도 안성시 공도읍 서동대로 3930-39,경기도 안성시 공도읍 진사리 354번지,36.9945235041,127.1471670216
평택시,로컬푸드직매장,고덕파머스마켓,031-662-2711,17789,경기도 평택시 고덕면 문화마을길 27-11,경기도 평택시 고덕면 해창리 1170-17번지,37.0389308052,127.0129144314
평택시,전통시장,,031-662-3368,17757,경기도 평택시 탄현로346번길 38,경기도 평택시 지산동 754-28,37.08145628,127.0567324
평택시,전통시장,,031-666-4676,17779,경기도 평택시 서정역로 37,경기도 평택시 서정동 328-35,37.05742105,127.0555086
평택시,로컬푸드직매장,이충직매장,031-668-7419,17731,경기도 평택시 장안웃길 149,경기도 평택시 이충동 700번지,37.0660526248,127.0707164271
안성시,로컬푸드직매장,경기로컬푸드 직매장(신규),031-673-9493,17546,경기도 안성시 대덕면 중앙로 50-48,경기도 안성시 대덕면 내리 50-43번지,37.0112506850,127.2319898721
안성시,로컬푸드직매장,대덕농협 로컬푸드직매장,031-676-1773,17572,경기도 안성시 고수1로 43,경기도 안성시 당왕동 534-9번지,37.0139109782,127.2576324800
안성시,전통시장,,031-677-4779,17592,경기도 안성시 시장길 37,경기도 안성시 서인동 13의1,37.00663083,127.2703533
용인시,로컬푸드직매장,기흥농협 로컬푸드직매장,031-679-2132,17074,경기도 용인시 기흥구 민속촌로 6,경기도 용인시 기흥구 보라동 413-5번지,37.2545326731,127.1055201492
성남시,전통시장,,031-701-1240,13589,경기도 성남시 중앙공원로40번길 8,경기도 성남시 서현동 94번지,37.37973404,127.1301894
성남시,전통시장,,031-701-7007,13587,경기도 성남시 분당구 불정로386번길 10 서현동 효자촌미래타운아파트,경기도 성남시 분당구 서현동 307,37.37341644,127.1380364
성남시,전통시장,,031-701-7555,13587,경기도 성남시 분당구 불정로376번길 31,경기도 성남시 분당구 서현동 311,37.37225503,127.1388711
성남시,전통시장,,031-702-5982,13587,경기도 성남시 분당구 불정로376번길 37 서현동,경기도 성남시 분당구 서현동 312-3,37.3716295,127.1394444
성남시,전통시장,,031-711-0826,13597,경기도 성남시 분당구 내정로165번길 38,경기도 성남시 분당구수내동 32,37.37666085,127.1162393
성남시,전통시장,,031-711-7268,13597,경기도 성남시 분당구 내정로 165번길 38,경기도 성남시 분당구 수내동 32,37.37666085,127.1162393
성남시,전통시장,,031-711-8628,13599,경기도 성남시 분당구 수내동 돌마로 361,경기도 성남시 분당구 수내동 돌마로 361,37.37062313,127.1229661
성남시,전통시장,,031-721-5522,13407,경기도 성남시 마지로 118,경기도 성남시 중원구 하대원동 266의1,37.42746648,127.1422367
성남시,전통시장,,031-744-9858,13157,경기도 성남시 중원구 산성대로 526,경기도 성남시 중원구 은행2동 1553,37.45758554,127.1644853
성남시,전통시장,,031-746-7290,13241,경기도 성남시 중원구 희망로344번길 6,경기도 성남시 중원구 상대원동 2985-1,37.4359794,127.1587721
성남시,전통시장,,031-749-8982,13180,경기도 성남시 중원구 광명로289,경기도 성남시 중원구 금광동 10,37.44434033,127.1583278
성남시,전통시장,,031-754-0751,13377,경기도 성남시 중원구 둔촌대로 83번길 7,경기도 성남시 중원구 성남동 4222,37.43090769,127.1280077
성남시,전통시장,,031-754-8426,13376,경기도 성남시 중원구 성남대로 1127,경기도 성남시 중원구 성남동 4182,37.43033963,127.1288869
성남시,로컬푸드직매장,성남농협 로컬푸드직매장 대왕점,031-758-9421,13105,경기도 성남시 수정구 대왕판교로 989,경기도 성남시 수정구 고등동 583번지,37.4285580334,127.1013197605
광주시,전통시장,,031-761-2800,12760,경기도 광주시 경안로25번길 14-1,경기도 광주시 경안동 33-16,37.40885891,127.2570300252
양평군,로컬푸드직매장,양서농협 로컬푸드직매장,031-770-6811,,,,,
양평군,전통시장,,031-771-2080,12556,경기도 양평군 양평읍 양평장터길 15 일원,경기도 양평군 양평읍 양근리 166-14,37.49093212,127.492562
양평군,전통시장,,031-771-6172,12523,경기도 양평군 용문면 용문시장2길 11 일원,경기도 양평군 용문면 다문리 307-5 일원,37.48396323,127.5947559
양평군,전통시장,,031-773-1722,12539,경기도 양평군 양동면 학둔지아래길 76 일원,경기도 양평군 양동면 쌍학리 227-3 일원,37.42017367,127.7531969
양평군,로컬푸드직매장,양평친환경 로컬푸드직매장(용문점),031-773-6355,12523,경기도 양평군 용문면 용문시장2길 11,경기도 양평군 용문면 다문리 307-5번지,37.4839597857,127.5947528398
양평군,로컬푸드직매장,청운농협 로컬푸드직매장,031-774-9826,12531,경기도 양평군 청운면 청운삼성길 7,경기도 양평군 청운면 삼성리 798-21번지,37.5701298040,127.7363222241
양평군,로컬푸드직매장,양평친환경 로컬푸드직매장,031-775-4093,12556,경기도 양평군 양평읍 양평장터길 15,경기도 양평군 양평읍 양근리 166-8번지,37.4909380837,127.4925566554
성남시,전통시장,,031-786-0704,13599,경기도 성남시 분당구 내정로174번길 42 파크타운서안아파트,경기도 성남시 분당구 수내동 53,37.37153075,127.1221683
하남시,전통시장,,031-794-3753,12969,경기도 하남시 수리북로 22,경기도 하남시 덕풍동 328-12,37.54153872,127.202919
하남시,전통시장,,031-794-4626,12958,경기도 하남시 신장1로3번길 42,경기도 하남시 신장동 신장전통시장,37.53788732,127.2070276
광주시,로컬푸드직매장,서하리 로컬푸드 직매장,031-797-1133,12705,경기도 광주시 초월읍 해공로 551,경기도 광주시 초월읍 서하리 243-2번지,37.4361322817,127.3080604674
김포시,로컬푸드직매장,김포로컬푸드 공동판매장(현대아울렛점),031-8048-2522,10135,경기도 김포시 고촌읍 아라육로152번길 100,경기도 김포시 고촌읍 전호리 654번지,37.5972979801,126.7852858447
평택시,로컬푸드직매장,안중직매장,031-8053-0637,17941,경기도 평택시 안중읍 송담1로 17,경기도 평택시 안중읍 송담리 857-1번지,36.9763331411,126.9257115699
연천군,로컬푸드직매장,전곡농협 로컬푸드직매장,031-832-8548,11027,경기도 연천군 전곡읍 평화로 557,경기도 연천군 전곡읍 전곡리 276번지,38.0205662112,127.0678056502
의정부시,전통시장,,031-846-2617,11695,경기도 의정부시 태평로 73번길 20,경기도 의정부시 의정부동 160,37.74012663,127.0500679
동두천시,전통시장,,031-859-1233,11332,경기도 동두천시 큰시장로 52,경기도 동두천시 생연동 698-1,37.90049061,127.0520741
여주시,로컬푸드직매장,여주농협 로컬푸드직매장,031-883-3045,12623,경기도 여주시 여흥로47번길 8-16,경기도 여주시 하동 136-3번지,37.2980342333,127.6298805484
여주시,로컬푸드직매장,대신농협 로컬푸드직매장,031-883-9976,12610,경기도 여주시 대신면 여양로 1540,경기도 여주시 대신면 보통리 106번지,37.3748236473,127.5789271087
여주시,로컬푸드직매장,세종대왕농협 로컬푸드직매장,031-884-4327,12641,경기도 여주시 세종대왕면 마장로 91,경기도 여주시 세종대왕면 번도리 485번지,37.2994693312,127.5758694881
여주시,로컬푸드직매장,신륵사 로컬푸드 직매장,031-886-2772,12636,경기도 여주시 신륵사길 8,경기도 여주시 천송동 544번지,37.2999794586,127.6539289238
용인시,로컬푸드직매장,용인시 로컬푸드 행복장터,031-889-8611,16867,경기도 용인시 수지구 경부고속도로 400,경기도 용인시 수지구 죽전동 866-2번지,37.3319431785,127.1051947625
고양시,로컬푸드직매장,일산농협 로컬푸드직매장(장항점),031-907-8161,10429,경기도 고양시 일산동구 장항로 226-68,경기도 고양시 일산동구 장항동 594번지,37.6429939852,126.7776505783
고양시,로컬푸드직매장,송포농협 로컬푸드직매장,031-918-5949,10369,경기도 고양시 일산서구 일산로 640,경기도 고양시 일산서구 대화동 2032-2번지,37.6821804988,126.7582861371
고양시,로컬푸드직매장,일산농협 로컬푸드직매장(킨텍스점),031-918-8161,10394,경기도 고양시 일산동구 태극로 8,경기도 고양시 일산동구 장항동 1753번지 킨텍스원시티,37.6635919770,126.7492193177
파주시,로컬푸드직매장,금촌농협 로컬푸드직매장,031-941-3661,10928,경기도 파주시 금정로 103,경기도 파주시 금촌동 329-151번지,37.7635629083,126.7717452109
파주시,전통시장,,031-942-5656,10929,경기도 파주시 문화로 94(금촌동),경기도 파주시 금촌동 55-4,37.7625985,126.775133
파주시,전통시장,,031-942-5656,10929,경기도 파주시 명동길 56(금촌동),경기도 파주시 금촌동 321-19,37.7630739,126.7735887
파주시,로컬푸드직매장,장단콩웰빙마루 로컬푸드직매장,031-943-2662,10862,경기도 파주시 탄현면 필승로 396,경기도 파주시 탄현면 성동리 678번지,37.7771417773,126.6844825722
파주시,로컬푸드직매장,파주연천축협 로컬푸드직매장,031-944-2704,10855,경기도 파주시 평화로 110,경기도 파주시 금촌동 437-4번지,37.7667366737,126.7675699635
파주시,로컬푸드직매장,조리농협 로컬푸드직매장,031-944-6556,10937,경기도 파주시 조리읍 봉천로 12,경기도 파주시 조리읍 봉일천리 125-8번지,37.7428753591,126.8102887077
파주시,전통시장,,031-946-0013,10929,경기도 파주시 금정 24길 18-6,경기도 파주시 금촌동 64-19,37.76261525,126.7738771
파주시,전통시장,,031-946-0013,10929,경기도 파주시 금정24길 18-6(금촌동),경기도 파주시 금촌동 64-19,37.762599,126.773886
파주시,전통시장,,031-952-3233,10823,경기도 파주시 문산읍 문향로 57,경기도 파주시 문산읍 문산리 10-23,37.8569889,126.7841888
파주시,전통시장,,031-952-3233,10823,경기도 파주시 문산읍 문향로 57,경기도 파주시 문산읍 문산리 10-23,37.85672748,126.7839421
파주시,로컬푸드직매장,북파주농협 로컬푸드직매장,031-953-5129,10821,경기도 파주시 문산읍 문향로 75,경기도 파주시 문산읍 문산리 3-5번지,37.8585808333,126.7854417295
파주시,전통시장,,031-958-8662,10803,경기도 파주시 적성면 칠중2길 19,경기도 파주시 적성면 구읍리 649-14,37.9554549,126.918612
김포시,로컬푸드직매장,고촌농협 로컬푸드직매장 고촌점,031-961-0880,,,,,
고양시,로컬푸드직매장,벽제농협 로컬푸드직매장,031-962-1873,10287,경기도 고양시 덕양구 통일로 775,경기도 고양시 덕양구 관산동 226-2번지,37.6872226851,126.8638494304
고양시,로컬푸드직매장,고양축협 로컬푸드직매장,031-965-0018,10294,경기도 고양시 덕양구 호국로 915-14,경기도 고양시 덕양구 성사동 620-1번지,37.6654508228,126.8448507785
고양시,로컬푸드직매장,원당농협 로컬푸드복합문화센터,031-965-5975,10293,경기도 고양시 덕양구 고양대로 1433,경기도 고양시 덕양구 성사동 410-5번지,37.6533107275,126.8433703438
고양시,로컬푸드직매장,원당농협 로컬푸드직매장,031-966-6252,10463,경기도 고양시 덕양구 고양대로1369번길 69,경기도 고양시 덕양구 성사동 505번지,37.6574757290,126.8386854331
고양시,로컬푸드직매장,지도농협 로컬푸드직매장(2호점),031-967-6010,10473,경기도 고양시 덕양구 화중로 220,경기도 고양시 덕양구 화정동 851번지,37.6464752212,126.8347135465
고양시,로컬푸드직매장,지도농협 로컬푸드직매장(3호점),031-969-5345,10455,경기도 고양시 덕양구 호국로 573,경기도 고양시 덕양구 화정동 808-17번지,37.6391504321,126.8272981949
고양시,전통시장,,031-975-2232,10342,경기도 고양시 일산서구 일청로 12번길 9,경기도 고양시 일산서구 일산동 617-20,37.68562256,126.7708264
고양시,로컬푸드직매장,일산농협 로컬푸드직매장(본점),031-975-8322,10342,경기도 고양시 일산서구 일청로 30,경기도 고양시 일산서구 일산동 594-28번지,37.6866155418,126.7713868104
고양시,로컬푸드직매장,일산농협 로컬푸드직매장(풍산점),031-975-8322,10308,경기도 고양시 일산동구 숲속마을1로 34,경기도 고양시 일산동구 풍동 349-13번지,37.6639559951,126.7996021339
김포시,전통시장,,031-980-2769,10059,경기도 김포시 양촌읍 양곡1로56번길 13,경기도 김포시 양촌읍 양곡리 423,37.6561611480,126.6237054005
김포시,전통시장,,031-980-2769,10018,경기도 김포시 통진읍 서암로84번길 1,경기도 김포시 통진읍 서암리 730-3,37.6924031388,126.5993151
김포시,전통시장,,031-980-2769,10106,경기도 김포시 북변중로 55,경기도 김포시 북변동 382-11,37.6261050478,126.710509
김포시,전통시장,,031-980-2769,10059,경기도 김포시 양촌읍 양곡로 537,경기도 김포시 양촌읍 양곡리 414-3,37.654818,126.623703
김포시,로컬푸드직매장,엘리트농부 로컬푸드 직매장,031-981-8456,10058,경기도 김포시 양촌읍 구래로26번길 65-20,경기도 김포시 양촌읍 구래리 202-1번지,37.6491332043,126.6199103324
김포시,로컬푸드직매장,김포농협 로컬푸드직매장(1호점),031-984-8522,10096,경기도 김포시 홍도평로 20,경기도 김포시 걸포동 1588번지,37.6315571684,126.7129923547
김포시,로컬푸드직매장,김포농협 로컬푸드직매장(2호점),031-985-8242,10065,경기도 김포시 김포한강4로 213,경기도 김포시 장기동 156-4번지,37.6492554432,126.6589039113
김포시,로컬푸드직매장,고촌농협 로컬푸드직매장,031-986-4312,10122,경기도 김포시 고촌읍 장곡로3번길 28,경기도 김포시 고촌읍 태리 31-14번지,37.6057604603,126.7530977905
김포시,전통시장,,031-990-6520,10018,경기도 김포시 서암로84번길 29,경기도 김포시 서암리 721-8,37.69129472,126.5997011
김포시,로컬푸드직매장,신김포농협 로컬푸드직매장,031-996-5438,10064,경기도 김포시 양촌읍 김포한강4로 366,경기도 김포시 양촌읍 석모리 1179번지,37.6508119032,126.6434807220
부천시,전통시장,,032-343-2539,14696,경기도 부천시 소사구 범안로8번길 11,경기도 부천시 괴안동 40,37.48040752,126.8052447
부천시,전통시장,,032-343-9655,14681,경기도 부천시 부광로16번길 33,경기도 부천시 소사구 괴안동 107-8,37.48252978,126.8115377
부천시,전통시장,,032-347-1909,14705,경기도 부천시 호현로474번길 13-2,경기도 부천시 소사본동 78-12,37.47966315,126.7939541
부천시,전통시장,,032-611-3691,14618,경기도 부천시 석천로60번길 51,경기도 부천시 상동 236-5,37.49235707,126.7642708
부천시,전통시장,,032-655-6682,14568,경기도 부천시 조종로 49번길 21-3,경기도 부천시 원미동 97-12,37.49368229,126.7901781
부천시,전통시장,,032-656-1892,14709,경기도 부천시 소사구 자유로 33,경기도 부천시 소사구 심곡본동 543,37.4841112,126.7799422
